FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
90,"召","seduce",2018-06-01 00:50:27,2019-07-22,8,1,8
91,"昭","shining",2018-07-06 06:06:21,2018-08-08,5,2,11
92,"則","rule",2018-05-25 05:10:39,2019-02-21,8,0,8
93,"副","vice-",2018-05-21 03:40:50,2018-08-24,6,2,15
94,"別","separate/べつ",2018-06-11 06:33:04,2018-07-03,4,6,20
95,"丁","street",2018-01-25 19:35:51,2018-10-24,8,2,9
96,"町","village/まち",2018-12-04 10:32:55,2018-12-05,2,2,8
97,"可","can",2018-11-26 16:57:42,2019-01-07,5,1,10
98,"頂","place on the head/onegai",2018-06-06 03:42:46,2019-02-18,8,5,11
99,"子","child",2018-06-20 21:12:00,2019-06-19,8,0,8
100,"孔","cavity",2018-05-20 03:31:53,2019-02-24,8,1,8
101,"了","complete",2018-01-25 19:35:51,2018-09-18,8,2,14
102,"女","woman",2018-05-25 05:10:42,2019-06-10,8,0,9
103,"好","fond",2018-05-29 02:21:30,2019-05-28,8,0,8
104,"如","likeness",2018-12-04 11:01:10,2018-12-24,4,3,11
105,"母","mama",2018-05-23 07:11:46,2019-06-27,8,0,8
106,"貫","pierce",2018-12-04 10:23:52,2018-12-09,3,2,11
107,"兄","elder brother",2018-02-06 20:32:30,2018-10-17,8,0,8
108,"呪","curse",2018-07-09 03:32:48,2018-07-25,4,2,11
109,"克","overcome",2018-06-14 04:33:20,2018-06-29,4,1,11
110,"小","little",2018-05-28 05:26:44,2019-06-28,8,0,8
111,"少","few",2018-06-15 23:46:51,2019-06-08,8,0,8
112,"大","large/だい",2018-05-28 05:26:44,2019-06-23,8,0,8
113,"多","many",2017-06-24 00:01:10,2018-07-10,8,1,10
114,"夕","evening",2018-05-25 05:10:40,2019-06-23,8,0,8
115,"汐","eventide",2018-12-19 12:10:11,2020-01-05,8,2,10
116,"外","outside",2018-05-28 05:26:44,2019-03-03,8,1,8
117,"名","name",2018-12-19 12:01:03,2020-02-02,8,0,8
118,"石","stone",2018-12-19 12:27:18,2019-12-21,8,0,8
119,"肖","resemblance",2018-01-25 19:24:54,2018-09-19,8,1,12
120,"硝","nitrate",2018-07-06 06:06:21,2018-08-07,5,1,11
121,"砕","smash",2018-02-26 20:19:22,2018-10-14,8,2,12
122,"砂","sand",2018-01-25 19:36:20,2018-10-08,8,1,12
123,"妬","jealous(not 嫉 or 羨)",2018-07-06 06:06:21,2018-07-30,5,2,12
124,"削","plane",2018-02-15 20:03:23,2018-10-22,8,0,9
125,"光","ray",2018-05-20 02:27:50,2019-06-17,8,1,8
126,"太","plump",2018-05-28 05:26:44,2019-07-06,8,0,8
127,"器","utensil",2018-05-28 05:26:44,2019-07-06,8,0,8
128,"臭","stinking",2018-05-25 05:10:40,2018-11-29,7,6,19
129,"嗅","sniff",2018-12-04 10:52:01,2018-12-21,4,4,12
130,"妙","exquisite",2018-03-17 05:38:01,2018-11-18,8,3,15
131,"省","focus",2018-02-16 16:48:47,2018-11-15,8,1,8
132,"厚","thick",2017-08-08 06:39:28,2018-08-19,8,2,11
133,"奇","strange",2018-05-21 04:42:09,2019-06-14,8,0,8
134,"川","stream",2018-05-21 03:40:50,2019-05-26,8,0,8
135,"州","state",2018-07-06 06:06:21,2019-07-05,8,0,8
136,"順","obey",2018-01-26 19:44:26,2018-10-13,8,0,8
137,"水","water",2018-05-28 05:41:00,2019-07-12,8,0,8
138,"氷","icicle",2018-02-08 17:49:34,2018-10-22,8,0,8
139,"永","eternity",2018-06-11 07:38:19,2019-02-02,8,0,8
140,"泉","spring(not season)",2018-05-21 03:40:50,2018-08-21,6,3,11
141,"腺","gland",2018-01-25 19:35:51,2018-10-18,8,2,8
142,"原","origin",2018-07-06 06:06:21,2018-08-05,5,3,15
143,"願","petition",2018-12-04 10:52:01,2018-12-19,4,6,19
144,"泳","swim",2018-11-26 16:57:42,2019-01-02,5,1,11
145,"沼","marsh/(not swamp)",2018-07-06 06:06:21,2018-08-05,5,2,11
146,"沖","open sea",2018-01-29 16:41:20,2018-10-12,8,1,8
147,"汎","pan-",2018-12-04 10:32:55,2018-12-09,3,2,11
148,"江","creek",2018-06-20 21:12:00,2018-07-05,4,1,10
149,"汰","selection",2018-12-04 11:01:10,2018-12-15,4,5,12
150,"汁","soup",2018-06-22 09:23:42,2018-07-11,4,2,11
151,"沙","grains of sand",2018-01-29 16:56:17,2018-10-30,8,3,11
152,"潮","tide",2018-06-16 11:54:13,2018-07-01,4,2,15
153,"源","source",2018-07-06 06:06:21,2018-08-02,5,9,25
154,"活","lively",2018-06-22 09:23:41,2019-02-26,8,1,11
155,"消","extinguish",2018-07-06 06:06:21,2019-07-22,8,1,10
156,"況","but of course",2018-03-29 17:22:58,2018-12-11,8,0,8
157,"河","river (not 川)",2018-11-26 16:57:05,2018-12-26,5,2,11
158,"泊","overnight",2018-07-06 06:06:22,2018-07-27,4,3,9
159,"湖","lake",2018-06-20 20:59:58,2018-07-02,4,1,10
160,"測","fathom",2018-06-22 09:23:41,2018-07-16,5,2,11
161,"土","soil",2018-05-28 05:32:53,2019-06-23,8,0,8
162,"吐","spit",2018-01-23 17:12:45,2018-09-21,8,0,8
163,"圧","pressure",2018-05-29 02:21:30,2019-05-31,8,1,14
164,"埼","cape",2018-11-26 16:53:13,2018-12-24,5,1,11
165,"垣","hedge",2018-07-06 06:06:21,2018-08-06,5,1,11
166,"填","embutir",2018-07-06 06:06:21,2018-08-04,5,3,15
167,"圭","squared jewel",2018-07-05 03:34:24,2018-07-31,5,1,11
168,"封","seal",2018-06-16 11:59:52,2018-07-02,4,6,15
169,"涯","horizon",2018-01-26 19:44:26,2018-09-26,8,1,9
170,"寺","Buddhist temple",2018-05-25 16:55:47,2019-07-09,8,0,8
171,"時","time",2018-06-02 04:26:17,2019-07-21,8,0,8
172,"均","level",2018-06-16 11:59:52,2019-03-07,8,4,13
173,"火","fire",2018-05-25 16:55:46,2019-06-14,8,0,8
174,"炎","inflammation",2018-05-25 16:55:46,2019-03-03,8,0,8
175,"煩","anxiety",2018-12-04 11:01:10,2018-12-07,2,3,11
176,"淡","pale, thin",2018-06-11 07:39:23,2019-02-06,8,2,14
177,"灯","lamp",2018-12-19 12:27:18,2019-09-16,8,0,8
178,"畑","farm",2018-01-29 19:40:36,2018-10-20,8,2,8
179,"災","disaster",2018-06-11 07:39:23,2018-07-11,5,4,12
180,"灰","ashes",2018-05-21 03:40:50,2018-08-27,6,3,16
181,"点","spot/point",2018-07-06 06:06:21,2019-02-28,8,0,8
182,"照","illuminate",2018-05-20 04:31:38,2019-05-18,8,1,8
183,"魚","fish",2018-06-06 03:42:46,2019-06-05,8,0,8
184,"漁","fishing",2018-05-23 07:11:46,2018-08-26,6,1,11
185,"里","parents house/ri",2018-05-20 02:55:18,2019-06-05,8,0,8
186,"黒","black",2018-03-17 06:36:43,2018-11-30,8,0,8
187,"墨","black ink",2018-05-25 05:10:42,2019-07-02,8,0,8
188,"鯉","carp",2018-07-06 06:06:21,2018-08-01,5,1,11
189,"量","quantity/りょう",2018-06-20 21:12:00,2018-07-05,4,2,10
190,"厘","rin",2018-11-26 16:57:05,2018-12-12,4,6,18
191,"埋","bury",2018-12-04 10:32:55,2018-12-13,3,1,8
192,"同","same",2018-02-16 16:44:55,2018-10-02,8,1,8
193,"洞","den",2018-11-26 16:53:13,2018-12-26,5,2,11
194,"胴","trunk",2018-05-21 03:25:15,2019-01-05,8,0,8
195,"向","yonder",2017-07-04 07:48:15,2018-07-14,8,0,7
196,"尚","esteem",2018-12-19 11:57:36,2018-12-19,1,3,8
197,"字","character",2018-05-28 05:26:44,2019-03-05,8,2,13
198,"守","guard",2018-01-26 19:10:18,2018-10-11,8,1,12
199,"完","perfect",2018-06-15 23:40:45,2018-07-10,5,3,13
200,"宣","proclaim",2018-06-20 21:06:47,2018-07-05,4,1,10
201,"宵","wee hours",2018-07-09 03:32:48,2018-08-06,5,1,11
202,"安","relax/cheap",2018-05-30 01:04:16,2019-07-04,8,0,8
203,"宴","banquet",2018-11-26 08:52:04,2018-11-26,1,2,8
